epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4796,1.60525,9.24864,0.00398,0.00208,0.52,0.00498,0.00289,1.29081,9.91864,0.00409,5.001e-05,5.001e-05,5.001e-05
2,68.8586,1.63371,8.99269,0.00409,0.07543,0.12,0.03038,0.02369,1.3198,9.15119,0.00435,0.000115535,0.000115535,0.000115535
3,73.5257,1.46202,7.0622,0.00385,0.09286,0.66,0.28268,0.12083,1.32718,7.64824,0.00397,0.000179739,0.000179739,0.000179739
4,80.4569,1.40693,5.05132,0.00367,0.78893,0.27396,0.28091,0.1218,1.58575,4.6423,0.00504,0.000242624,0.000242624,0.000242624
5,85.9288,1.33603,4.40625,0.0034,0.84582,0.17948,0.28542,0.12379,1.34768,4.78102,0.00417,0.000304187,0.000304187,0.000304187
6,90.5467,1.38822,3.59205,0.00359,0.41362,0.26248,0.40786,0.21791,1.29785,4.56186,0.004,0.000364431,0.000364431,0.000364431
7,95.3279,1.30997,2.98843,0.00358,0.61637,0.44137,0.59226,0.31752,1.46593,3.37387,0.00467,0.000423355,0.000423355,0.000423355
8,100.945,1.48008,2.64107,0.00409,0.5547,0.2588,0.45099,0.22928,1.60727,3.6788,0.00513,0.000480958,0.000480958,0.000480958
9,105.167,1.38331,2.14641,0.00342,0.62186,0.56,0.61339,0.31624,1.58829,2.72592,0.0051,0.000537241,0.000537241,0.000537241
10,110.304,1.47222,2.01242,0.00361,0.6486,0.58,0.63952,0.3389,1.65863,2.47316,0.00527,0.000592203,0.000592203,0.000592203
11,115.863,1.45027,1.8289,0.00378,0.92057,0.32589,0.53357,0.29915,1.49002,2.63138,0.00467,0.000645846,0.000645846,0.000645846
12,120.145,1.39012,1.66821,0.00365,0.8693,0.35475,0.62526,0.3523,1.99129,2.38106,0.00653,0.000698168,0.000698168,0.000698168
13,125.31,1.3952,1.22122,0.00331,0.68691,0.63987,0.65385,0.38819,1.86286,1.61144,0.00596,0.00074917,0.00074917,0.00074917
14,131.339,1.35366,1.39631,0.00359,0.74391,0.51737,0.6705,0.38487,1.82881,1.86067,0.00572,0.000798851,0.000798851,0.000798851
15,135.719,1.4111,1.36241,0.0035,0.59491,0.76143,0.64245,0.40828,1.36149,1.51492,0.00418,0.000847213,0.000847213,0.000847213
16,147.097,1.4334,1.06029,0.00322,0.72424,0.85943,0.77827,0.48131,1.39342,1.3531,0.0042,0.000894254,0.000894254,0.000894254
17,152.521,1.27491,1.01574,0.00315,0.82232,0.86,0.84335,0.5011,1.36199,1.33767,0.00423,0.000939975,0.000939975,0.000939975
18,158.684,1.26174,0.90898,0.00303,0.72423,0.86,0.85519,0.50714,1.37834,1.30416,0.00432,0.000984375,0.000984375,0.000984375
19,163.743,1.32134,0.90167,0.00321,0.68962,0.82331,0.78187,0.46486,1.27861,1.55451,0.00403,0.00102746,0.00102746,0.00102746
20,168.117,1.2673,0.87137,0.00303,0.8107,0.86748,0.87096,0.53511,1.36361,1.10957,0.00422,0.00106922,0.00106922,0.00106922
21,173.954,1.20968,0.77461,0.00286,0.91578,0.66,0.73398,0.48749,1.45309,1.03024,0.00457,0.00110966,0.00110966,0.00110966
22,178.339,1.3565,0.78132,0.00349,0.87908,0.66593,0.74238,0.47026,1.39632,0.9665,0.00434,0.00114877,0.00114877,0.00114877
23,183.165,1.37743,0.93995,0.00353,0.82044,0.89751,0.84889,0.45028,1.58622,0.77785,0.00499,0.00118657,0.00118657,0.00118657
24,188.728,1.46984,0.99827,0.00366,0.72047,0.7,0.77851,0.39602,1.6102,0.76913,0.00504,0.00122305,0.00122305,0.00122305
25,193.085,1.41052,0.97692,0.00332,0.73736,0.8903,0.86985,0.53808,1.31394,0.76205,0.00406,0.00125821,0.00125821,0.00125821
26,197.963,1.24043,1.01358,0.00315,0.9299,0.64515,0.7595,0.49959,1.47663,0.81642,0.00457,0.00125442,0.00125442,0.00125442
27,203.126,1.38341,1.09136,0.00319,0.73918,0.88,0.80628,0.49879,1.38137,0.81834,0.00424,0.00123791,0.00123791,0.00123791
28,207.719,1.23861,0.75951,0.00301,0.8258,0.87569,0.7986,0.44176,1.53089,1.02845,0.00479,0.00122141,0.00122141,0.00122141
29,217.245,1.19084,0.70456,0.00286,0.8584,0.88,0.85039,0.49238,1.48988,1.23569,0.00468,0.00120491,0.00120491,0.00120491
30,226.233,1.16008,0.8997,0.00283,0.87496,0.88,0.86052,0.50877,1.52575,1.19317,0.00462,0.0011884,0.0011884,0.0011884
31,231.049,1.15639,0.76085,0.00261,0.8091,0.95879,0.93969,0.54622,1.39552,0.74394,0.00434,0.0011719,0.0011719,0.0011719
32,236.543,1.28331,0.70863,0.00313,0.83405,0.84434,0.92042,0.56712,1.34872,0.65096,0.00424,0.0011554,0.0011554,0.0011554
33,241.764,1.14736,0.78904,0.00299,0.74981,0.96864,0.92028,0.5735,1.31694,0.77995,0.00408,0.00113889,0.00113889,0.00113889
34,250.523,1.21053,0.73119,0.00288,0.8496,0.8348,0.90036,0.51069,1.40848,1.00844,0.00459,0.00112239,0.00112239,0.00112239
35,255.413,1.19636,0.75545,0.00296,0.83799,0.86,0.92565,0.53014,1.34205,1.72644,0.00438,0.00110589,0.00110589,0.00110589
36,260.437,1.11457,0.58337,0.00277,0.77936,0.99089,0.95944,0.61218,1.22849,2.22342,0.004,0.00108938,0.00108938,0.00108938
37,266.05,1.16358,0.67416,0.00275,0.79943,0.9,0.87349,0.54403,1.32228,1.5038,0.00426,0.00107288,0.00107288,0.00107288
